enum	string
LOC_L_CAMP	--------------阵营 
LOC_L_LEV_SORT	 等级排名--------------
LOC_L_MONEY_SORT	 金钱排名---------------
LOC_L_MONEY_SORT_MOST	财富排名前 
LOC_L_ROLE_RATE_IN_FACTION	 玩家中各门派所占比例数
LOC_L_LEVEL_SORT_MOST	级别排名前 
LOC_L_STAT_END	统计结束，时间：
LOC_L_ERR_IN_STATISTIC	!!!统计过程中遭遇错误数据!! 在此文件中查找关键'角色数据有错'，来定位错误。 
LOC_L_DEL_ROLE_FORMAT	*%s* 角色：%s, 等级：%i, 删除时间：%i.%i.%i %i:%i:%i
LOC_L_TIME	时间
LOC_L_CHR_COUNT	角色总数
LOC_L_FREEZE_COUNT	冻结总数
LOC_L_LEVEL1	%d级
LOC_K_ERROR	错误
LOC_G_FN_BEGINNER	无门无派
LOC_G_FN_SHAOLIN	少林
LOC_G_FN_WUDAN	武当
LOC_G_FN_EMEI	峨嵋
LOC_G_FN_GAIBANG	丐帮
LOC_G_FN_TANGMEN	唐门
LOC_G_FN_WUDU	五毒
LOC_G_FN_CUIYAN	翠烟
LOC_G_FN_KUNLUN	昆仑
LOC_G_FN_TIANBO	天波
LOC_G_FN_MINGJIAO	明教
LOC_G_FP_NONE	无门无派  
LOC_G_FP_SHAOLIN	少林未拜师
LOC_G_FP_SHAOLIN_EARTHLY	少林俗家  
LOC_G_FP_SHAOLIN_ZEN_MONK	少林禅僧  
LOC_G_FP_SHAOLIN_FIGHT_MONK	少林武僧  
LOC_G_FP_TANGMEN	唐门未拜师
LOC_G_FP_TANGMEN_NORMAL	唐门普通  
LOC_G_FP_EMEI	峨嵋未拜师
LOC_G_FP_EMEI_PRIESTESS	峨嵋出家  
LOC_G_FP_EMEI_EARTHLY	峨嵋俗家  
LOC_G_FP_GAIBANG	丐帮未拜师
LOC_G_FP_GAIBANG_CLEAN	丐帮净衣  
LOC_G_FP_GAIBANG_DIRTY	丐帮污衣  
LOC_G_FP_WUDANG	武当未拜师
LOC_G_FP_WUDANG_TAOIST	武当道家  
LOC_G_FP_WUDANG_EARTHLY	武当俗家  
LOC_G_FP_YANGMEN	杨门未拜师
LOC_G_FP_YANGMEN_SPEAR	杨门枪骑
LOC_G_FP_YANGMEN_BOW	杨门弓骑
LOC_G_FP_WUDU	五毒未拜师
LOC_G_FP_WUDU_EVIL	五毒邪侠
LOC_G_FP_WUDU_GU	五毒蛊师
LOC_SECT_NAME_1	无门无派
LOC_SECT_NAME_2	少林
LOC_SECT_NAME_3	武当
LOC_SECT_NAME_4	峨嵋
LOC_SECT_NAME_5	丐帮
LOC_SECT_NAME_6	唐门
LOC_SECT_NAME_7	天波府
LOC_SECT_NAME_8	五毒教
LOC_SECT_NAME_9	翠烟门
LOC_SECT_NAME_10	昆仑派
LOC_SECT_NAME_11	明教
LOC_ROUTE_NONE	无门无派  
LOC_ROUTE_SL	少林未拜师
LOC_ROUTE_SLS	少林俗家  
LOC_ROUTE_SLC	少林禅僧  
LOC_ROUTE_SLW	少林武僧  
LOC_ROUTE_TM_NO	唐门未拜师
LOC_ROUTE_TM_YES	唐门普通  
LOC_ROUTE_EM	峨嵋未拜师
LOC_ROUTE_EMF	峨嵋出家  
LOC_ROUTE_EMS	峨嵋俗家  
LOC_ROUTE_GB	丐帮未拜师
LOC_ROUTE_GBJ	丐帮净衣  
LOC_ROUTE_GBW	丐帮污衣  
LOC_ROUTE_WD	武当未拜师
LOC_ROUTE_WDD	武当道家  
LOC_ROUTE_WDS	武当俗家  
LOC_ROUTE_YM	杨门未拜师
LOC_ROUTE_YMQ	杨门枪骑  
LOC_ROUTE_YMG	杨门弓骑  
LOC_ROUTE_WUDU	五毒      
LOC_ROUTE_WUDU_XIE	五毒邪侠  
LOC_ROUTE_WUDU_GU	五毒蛊师  
